ZIPCode,State,City,Latitude,Longitude
42408,KY,Beulah,37.18,-87.68
42408,KY,Carbondale,37.18,-87.68
42408,KY,Charleston,37.18,-87.68
42409,KY,Dixon,37.54,-87.69
42410,KY,Earlington,37.27,-87.51
42411,KY,Fredonia,37.22,-88.02
42413,KY,Hanson,37.43,-87.48
42419,KY,Henderson,37.83,-87.59
42420,KY,Henderson,37.83,-87.56
42431,KY,Madisonville,37.33,-87.5
42436,KY,Manitou,37.41,-87.57
42437,KY,Morganfield,37.68,-87.91
42437,KY,Henshaw,37.68,-87.91
42437,KY,Boxville,37.68,-87.91
42437,KY,Grove Center,37.68,-87.91
42437,KY,Morganfld,37.68,-87.91
42437,KY,Pride,37.68,-87.91
42437,KY,Spring Grove,37.68,-87.91
42440,KY,Mortons Gap,37.24,-87.47
42441,KY,Nebo,37.36,-87.67
42442,KY,Nortonville,37.18,-87.46
42444,KY,Poole,37.64,-87.64
42445,KY,Princeton,37.12,-87.88
42450,KY,Providence,37.4,-87.76
42451,KY,Reed,37.88,-87.38
42452,KY,Robards,37.68,-87.54
42453,KY,Saint Charles,37.18,-87.6
42455,KY,Sebree,37.6,-87.53
42456,KY,Slaughters,37.51,-87.49
42457,KY,Smith Mills,37.81,-87.77
42458,KY,Spottsville,37.85,-87.42
42459,KY,Sturgis,37.55,-87.99
42460,KY,Sullivan,37.49,-87.94
42461,KY,Uniontown,37.78,-87.92
42462,KY,Waverly,37.73,-87.8
42463,KY,Wheatcroft,37.49,-87.86
42464,KY,White Plains,37.19,-87.38
42501,KY,Somerset,37.06,-84.56
42501,KY,Acorn,37.06,-84.56
42501,KY,Alcalde,37.06,-84.56
42501,KY,Elihu,37.06,-84.56
42501,KY,Poplarville,37.06,-84.56
42501,KY,Public,37.06,-84.56
42501,KY,Ruth,37.06,-84.56
42501,KY,Stab,37.06,-84.56
42501,KY,Walnut Grove,37.06,-84.56
42502,KY,Somerset,37.09,-84.6
42503,KY,Somerset,37.11,-84.59
42516,KY,Bethelridge,37.22,-84.79
42518,KY,Bronston,36.95,-84.62
42519,KY,Burnside,36.96,-84.55
42519,KY,Sloans Valley,36.96,-84.55
42519,KY,Alpine,36.96,-84.55
42528,KY,Dunnville,37.2,-85.01
42533,KY,Ferguson,37.07,-84.6
42539,KY,Liberty,37.3,-84.95
42539,KY,Clementsville,37.3,-84.95
42541,KY,Middleburg,37.38,-84.8
42544,KY,Nancy,37.02,-84.8
42544,KY,Cains Store,37.02,-84.8
42544,KY,Faubush,37.02,-84.8
42544,KY,Ingle,37.02,-84.8
42544,KY,Jabez,37.02,-84.8
42544,KY,Naomi,37.02,-84.8
42544,KY,Pointer,37.02,-84.8
42544,KY,Trimble,37.02,-84.8
42553,KY,Science Hill,37.18,-84.67
42558,KY,Tateville,37.15,-84.63
42564,KY,West Somerset,37.09,-84.6
42565,KY,Windsor,37.14,-84.91
42566,KY,Yosemite,37.3,-84.8
42567,KY,Eubank,37.26,-84.62
42567,KY,Pulaski,37.26,-84.62
42602,KY,Albany,36.62,-85.21
42602,KY,Aaron,36.62,-85.21
42602,KY,Browns Crossroads,36.62,-85.21
42602,KY,Browns Xroads,36.62,-85.21
42602,KY,Highway,36.62,-85.21
42602,KY,Seminary,36.62,-85.21
42602,KY,Seventy Six,36.62,-85.21
42602,KY,Snow,36.62,-85.21
42602,KY,Static,36.62,-85.21
42603,KY,Alpha,36.77,-85.02
